UF,Sexo,Idade,Cor,Anos.de.Estudo,Renda,Altura
Mato Grosso do Sul,Feminino,27,Branca,11 anos,1200,1.59
Mato Grosso do Sul,Masculino,27,Parda,7 anos,1500,1.68
Mato Grosso do Sul,Feminino,28,Preta,11 anos,1000,1.72
Mato Grosso do Sul,Masculino,20,Branca,10 anos,1100,1.78
Mato Grosso do Sul,Feminino,36,Branca,15 anos ou mais,3000,1.77
Mato Grosso do Sul,Feminino,34,Parda,4 anos,2000,1.5
Mato Grosso do Sul,Masculino,51,Parda,6 anos,1600,1.72
Mato Grosso do Sul,Masculino,55,Branca,5 anos,1300,1.74
Mato Grosso do Sul,Masculino,34,Branca,3 anos,1600,1.78
Mato Grosso do Sul,Masculino,23,Parda,8 anos,1200,1.74
Mato Grosso do Sul,Feminino,43,Parda,3 anos,788,1.76
Mato Grosso do Sul,Feminino,38,Branca,10 anos,788,1.59
Mato Grosso do Sul,Masculino,20,Parda,11 anos,945,1.78
Mato Grosso do Sul,Masculino,62,Parda,11 anos,788,1.72
Mato Grosso do Sul,Feminino,45,Parda,5 anos,788,1.66
Mato Grosso do Sul,Feminino,57,Parda,8 anos,1500,1.65
Mato Grosso do Sul,Feminino,36,Parda,11 anos,950,1.75
Mato Grosso do Sul,Masculino,43,Parda,4 anos,2500,1.58
Mato Grosso do Sul,Masculino,29,Branca,15 anos ou mais,2900,1.71
Mato Grosso do Sul,Masculino,24,Parda,15 anos ou mais,1700,1.7
Mato Grosso do Sul,Masculino,21,Parda,8 anos,1000,1.55
Mato Grosso do Sul,Masculino,49,Parda,4 anos,2000,1.62
Mato Grosso do Sul,Masculino,34,Parda,8 anos,2000,1.66
Mato Grosso do Sul,Feminino,34,Parda,11 anos,1000,1.62
Mato Grosso do Sul,Feminino,57,Parda,15 anos ou mais,1000,1.59
Mato Grosso do Sul,Masculino,39,Preta,11 anos,1700,1.64
Mato Grosso do Sul,Masculino,45,Preta,11 anos,1800,1.61
Mato Grosso do Sul,Masculino,30,Preta,8 anos,1200,1.61
Mato Grosso do Sul,Masculino,44,Parda,11 anos,900,1.85
Mato Grosso do Sul,Feminino,44,Parda,15 anos ou mais,1630,1.73
Mato Grosso do Sul,Masculino,40,Parda,11 anos,1670,1.67
Mato Grosso do Sul,Feminino,64,Parda,2 anos,100,1.66
Mato Grosso do Sul,Masculino,57,Branca,4 anos,1800,1.68
Mato Grosso do Sul,Masculino,28,Parda,15 anos ou mais,1500,1.78
Mato Grosso do Sul,Masculino,51,Branca,5 anos,1500,1.64
Mato Grosso do Sul,Masculino,38,Parda,11 anos,1800,1.81
Mato Grosso do Sul,Masculino,35,Preta,4 anos,2200,1.69
Mato Grosso do Sul,Masculino,36,Parda,11 anos,1200,1.75
Mato Grosso do Sul,Masculino,27,Branca,11 anos,788,1.76
Mato Grosso do Sul,Masculino,47,Parda,12 anos,2000,1.77
Mato Grosso do Sul,Feminino,61,Branca,4 anos,1000,1.77
Mato Grosso do Sul,Feminino,31,Branca,14 anos,2000,1.73
Mato Grosso do Sul,Feminino,65,Branca,4 anos,1250,1.6
Mato Grosso do Sul,Feminino,25,Parda,9 anos,880,1.68
Mato Grosso do Sul,Feminino,45,Branca,10 anos,1200,1.83
Mato Grosso do Sul,Masculino,58,Branca,11 anos,3150,1.61
Mato Grosso do Sul,Masculino,30,Preta,10 anos,860,1.67
Mato Grosso do Sul,Feminino,35,Branca,15 anos ou mais,6000,1.72
Mato Grosso do Sul,Masculino,43,Parda,11 anos,5000,1.77
Mato Grosso do Sul,Masculino,65,Branca,11 anos,1500,1.77
Mato Grosso do Sul,Masculino,33,Branca,15 anos ou mais,7880,1.61
Mato Grosso do Sul,Feminino,51,Branca,11 anos,788,1.8
Mato Grosso do Sul,Feminino,55,Parda,8 anos,600,1.62
Mato Grosso do Sul,Masculino,33,Branca,15 anos ou mais,4000,1.86
Mato Grosso do Sul,Masculino,52,Preta,3 anos,2600,1.8
Mato Grosso do Sul,Masculino,51,Branca,5 anos,4000,1.65
Mato Grosso do Sul,Feminino,43,Parda,12 anos,1300,1.61
Mato Grosso do Sul,Feminino,53,Branca,15 anos ou mais,7000,1.72
Mato Grosso do Sul,Masculino,29,Branca,8 anos,2000,1.64
Mato Grosso do Sul,Masculino,37,Branca,5 anos,4000,1.74
Mato Grosso do Sul,Masculino,28,Preta,11 anos,1600,1.9
Mato Grosso do Sul,Masculino,27,Parda,6 anos,1500,1.7
Mato Grosso do Sul,Masculino,56,Parda,1 ano,788,1.71
Mato Grosso do Sul,Masculino,43,Branca,11 anos,1600,1.67
Mato Grosso do Sul,Masculino,37,Branca,4 anos,1500,1.65
Mato Grosso do Sul,Masculino,44,Branca,5 anos,3500,1.69
Mato Grosso do Sul,Masculino,34,Branca,11 anos,1200,1.74
